sponsor,author,name,description
3DTK,Ichiho Ojima,Replacing the glui GUI with a Qt5 GUI,"3DTK provides a program to visualize point clouds called “show”.  GUI of “show” is written by glui framework now, but glui framework is old and difficult to maintain.  Therefore, it is necessary to replace “show” GUI with a more general framework such as Qt5.  3DTK developers have already started this rewriting, and this project is called “qtshow”.  However, “qtshow” still misses a lot of functionality compared to  “show”.  Because of this, I improve these problems and add some features which are in “show” but not in “qtshow”."
3DTK,Xia Sun,Surface Reconstruction Tool for 3DTK,Implement Poisson surface reconstruction for 3DTK.
52° North Initiative for Geospatial Open Source Software GmbH,Sai Krishna Chowrigari,Plain GPS-based Recording for enviroCar,"Currently, recording procedure in the enviroCar android application will be started only when user's phone is connected to the OBD-II adapter through Bluetooth. I would like to add the following features to the application :
1. Allow the user to record the track without connecting to the OBD-II adapter(Plain GPS Recording).
2. Embed activity recognition API in the app, so that some of the things like starting and ending of track become automatic. 
3. Redesign the Dashboard of the app. 
4. View live track data like RPM, CO2, Consumption, etc. to the user while tracking.
5. Upgrade some of the old libraries used in the app(eg: Dagger, ButterKnife, etc.).
6. Improve the store presence of the app by designing more attractive screenshots for store listing and framing the app name, short description and long description of the app in the play store, so that it contains keywords like OBD, Car, Diagnostics, etc."
AOSSIE - Australian Open Source Software Innovation and Education,Abanda Ludovic,Agora web API and Frontend project,"Agora is a library of data structures and algorithms for counting votes in elections. Agora-web, is a website to conduct online elections. As mentioned on the project idea page this project will create a working API and a frontend that will consume the API resources. Separating the frontend from the backend is a great idea, since other end user interfaces such as android applications, Desktop applications, IOS app can be created to consume the same API. This will enable users to work with their preferred interface and thus increase the usability of Agora platform as a whole. So this project will create an API and a  web frontend using  angular 5 separating the current Agora-web project into two distinct components."
AOSSIE - Australian Open Source Software Innovation and Education,Chirag Vashist,Optimization of Mind The Word,"I have selected the following ideas to implement in the extension :  

**1. Local Storage of most common words : ** Adding local storage for translations of the 1000th most common words will cover around 55% - 70% of all words encountered. This will save time as well as character limits.

**2. Adding Viewport limits :  ** Limiting the translation process to the current viewport will save time and character limits. 

**3. Translation without using API keys : ** Using Google Translate's free API for new users for easy on-boarding. 

**4. Better quizzing/testing features : ** On-the-go spontaneous quizzing feature will increase user interaction. Once the user has marked the word as ""learnt"", the word will be enabled for this feature.

**5. Improving basic UI/UX of the extension : ** Adding HoverCards for viewing translations, adding controls to Pop-Up page, Adding Interactive Tours, Changing UI/UX of Options Page and Adding Badge to Pop-Up for displaying information"
AOSSIE - Australian Open Source Software Innovation and Education,Ebou Jobe,Implement stardroid app from scratch,This project involves implementing the sky map android app open source by Google in 2012. The implementation will be in React Native so that the app will benefit both IOS and Android users.
AOSSIE - Australian Open Source Software Innovation and Education,Joydeep Mukherjee,Crowd Alert Web,A web app that allows users to access crowd alert platform without downloading the app from app store. Results a great first time experience for users who want to explore the platform without wanting to download the app. Also helps in sharing of events to external platforms. Machine Learning will help us deliver a better user experience such as clustering of events & spam detection.
AOSSIE - Australian Open Source Software Innovation and Education,Madhav Gaba,Enhancing CarbonFootprint-Mobile,"CarbonFootprint-Mobile is an already developed mobile app to calculate CO2 emissions during various activities. However the app is quite buggy and there are a lot improvements that can be made. Listing down a few:   
New Features  
1. Push notifications for friend request   
2. Searching Friends by name and autosuggest
3. Sharing stats on social media and an option to reset all stats  
4. Introducing pipelining provided by gitlab in the project  
5. Adding loading screens for various actions  
6. Converting the remaining stateless containers to functional and introducing prop-types"
AOSSIE - Australian Open Source Software Innovation and Education,Manikaran Singh,Mereology in Computational philosophy,"My project will be to equip Isabelle with the theory of Mereology or in other words, the concept of parts."
AOSSIE - Australian Open Source Software Innovation and Education,Raghav Puri,GSoC Proposal for Stardroid (Google Sky Maps),"The aim of the project is to build the STARDROID Application from scratch; calibrating it properly to acquire the ability of working with different mobile versions. The end goal would allow its proper usage to detect various Stars, Planets & Constellations in the sky with the help of in-built compass and sensors."
AOSSIE - Australian Open Source Software Innovation and Education,Raghavendra Vedula,Improvement of CO2 emission API,"This project aims to improve the existing RESTful API, that is to improve the functionalities of the existing API of Carbon Emissions. This includes both front-end as well as backend improvisations for more reliability on the API for the emission data. At the same time, it focuses on increasing the standards and quality of the API as well as the data endpoints. This will increase the versatility of the code base, and make it reliable for the corporate/companies to use the API for calculating carbon emission."
AOSSIE - Australian Open Source Software Innovation and Education,Rishabh Maheshwary,Crowd alert proposal for GSOC,Crowd Alert is a cross platform app which displays and reports worldwide incidents across the globe. It helps a user to report an incident conveniently without any hassle. The calamities across the globe can be marked and viewed on google maps.
AOSSIE - Australian Open Source Software Innovation and Education,Sushma Kukkadapu,"Making MTW user-friendly, robust and production ready","MindTheWord is currently browser extension that helps users to infer the meaning of a new language they wish to learn by translating certain percentage of words in a page. The current MTW requires a polished look to sustain in the competition from other such extensions. Also, MTW needs to be evolved to a desktop application which improves its availability and user-friendliness.
Thus, summarizing two tasks which I feel to be focused on : 
FIRST Improvising the current extension MTW, by giving it a polished look and also making it more robust and user-friendly.
SECOND To implement the browser extension features into a Cross-platform Desktop application using Javascript, AngularJS, Bootstrap, textract npm module and Electron."
