Year,Student,Programmer,Academic,Consultant,Carpentry,Author/Editor,Trainer
1980,1,0,0,0,0,0,0
1981,1,0,0,0,0,0,0
1982,1,0,0,0,0,0,0
1983,1,0,0,0,0,0,0
1984,0.4,0.6,0,0,0,0,0
1985,0.6,0.4,0,0,0,0,0
1986,0.6,0.4,0,0,0,0,0
1987,0,1,0,0,0,0,0
1988,0,1,0,0,0,0,0
1989,0.25,0.75,0,0,0,0,0
1990,0.25,0.75,0,0,0,0,0
1991,0.25,0.75,0,0,0,0,0
1992,0.5,0.25,0.25,0,0,0,0
1993,0,0,1,0,0,0,0
1994,0,0,1,0,0,0,0
1995,0,0.5,0.5,0,0,0,0
1996,0,1,0,0,0,0,0
1997,0,1,0,0,0,0,0
1998,0,0.5,0,0,0.45,0.05,0
1999,0,0.5,0,0,0.45,0.05,0
2000,0,0.75,0,0,0.2,0.05,0
2001,0,0.95,0,0,0,0.05,0
2002,0,0.95,0,0,0,0.05,0
2003,0,0.8,0,0,0,0.2,0
2004,0,0.5,0.3,0,0,0.2,0
2005,0,0,0.5,0.3,0,0.2,0
2006,0,0,0.75,0.05,0,0.2,0
2007,0,0,0.95,0,0,0.05,0
2008,0,0,0.95,0,0,0.05,0
2009,0,0,0.95,0,0,0.05,0
2010,0,0,0.4,0,0.6,0,0
2011,0,0.5,0,0,0.4,0.1,0
2012,0,0,0,0,0.95,0.05,0
2013,0,0,0,0,0.95,0.05,0
2014,0,0,0,0,1,0,0
2015,0,0,0,0,1,0,0
2016,0,0,0,0,1,0,0
2017,0,0,0,0,0,0,1
2018,0,0,0,0,0,0.2,0.8
2019,0,0,0,0,0,0,1
