    Unnamed: 0 site        date        lon       lat  reading
0          NaN  YOU  2023-05-01 -124.19699  48.87250     96.6
1          NaN  YOU  2023-05-01 -124.19707  48.87281     70.0
2          NaN  YOU  2023-05-01 -124.19808  48.87288     41.7
3          NaN  YOU  2023-05-01 -124.19678  48.87271     87.6
4          NaN  YOU  2023-05-01 -124.19725  48.87254     83.8
5          NaN  YOU  2023-05-01 -124.19829  48.87155      5.4
6          NaN  YOU  2023-05-01 -124.19696  48.87250     72.8
7          NaN  YOU  2023-05-01 -124.19737  48.87231     74.9
8          NaN  YOU  2023-05-01 -124.19669  48.87268     43.0
9          NaN  YOU  2023-05-01 -124.19704  48.87257     94.2
10         NaN  YOU  2023-05-01 -124.19734  48.87358     15.9
11         NaN  YOU  2023-05-01 -124.19670  48.87378      4.5
