kind,time,count
dev_queue,1.08,0
dev_queue,1.79,0
dev_queue,3.46,0
dev_queue,4.59,0
dev_queue,6.2,0
dev_queue,6.39,0
dev_queue,7.8,1
dev_queue,8.22,2
dev_queue,9.05,3
dev_queue,11.78,3
dev_queue,15.87,2
dev_queue,16.08,3
dev_queue,17.8,4
dev_queue,19.29,4
dev_queue,22.58,3
dev_queue,23.07,4
dev_queue,23.48,5
dev_queue,29.85,4
dev_queue,38.03,3
dev_queue,38.55,4
dev_queue,39.34,5
dev_queue,39.5,6
dev_queue,42.61,5
dev_queue,44.88,6
dev_queue,45.01,7
dev_queue,46.89,7
dev_queue,47.34,8
dev_queue,48.97,7
dev_queue,55.81,6
dev_queue,56.49,6
dev_queue,56.49,7
dev_queue,56.9,8
dev_queue,57.11,9
dev_queue,60.23,10
dev_queue,60.79,11
dev_queue,61.59,12
dev_queue,63.87,13
dev_queue,64.94,13
dev_queue,65.08,14
dev_queue,67.02,14
dev_queue,71.51,15
dev_queue,73.05,14
dev_queue,76.25,15
dev_queue,77.16,15
dev_queue,79.14,15
dev_queue,81.61,14
dev_queue,83.93,14
dev_queue,84.54,15
dev_queue,85.16,16
dev_queue,90.23,15
dev_queue,95.66,15
dev_queue,96.08,16
dev_queue,96.94,17
dev_queue,100.69,16
dev_queue,103.75,16
dev_queue,103.92,17
dev_queue,105.03,18
dev_queue,106.47,18
dev_queue,107.24,19
dev_queue,107.56,20
dev_queue,108.45,21
dev_queue,112.33,20
dev_queue,113.92,20
dev_queue,115.41,20
dev_queue,116.93,21
dev_queue,117.28,22
dev_queue,119.46,22
dev_queue,122.84,21
dev_queue,124.12,21
dev_queue,127.34,21
dev_queue,127.46,22
dev_queue,127.66,23
dev_queue,128.4,23
dev_queue,129.78,23
dev_queue,130.28,24
dev_queue,132.06,24
dev_queue,141.4,20
dev_queue,143.01,21
dev_queue,143.36,22
dev_queue,143.39,23
dev_queue,146.31,23
dev_queue,146.93,23
dev_queue,147.44,24
dev_queue,149.62,24
dev_queue,153.62,23
dev_queue,153.68,24
dev_queue,154.6,25
dev_queue,155.7,25
dev_queue,156.42,26
dev_queue,159.03,26
dev_queue,160.72,27
dev_queue,162.7,28
dev_queue,162.75,29
dev_queue,165.12,28
dev_queue,165.17,29
dev_queue,166.82,30
dev_queue,169.98,30
dev_queue,170.01,31
dev_queue,173.09,31
dev_queue,174.97,31
dev_queue,175.44,32
dev_queue,176.47,33
dev_queue,179.79,34
dev_queue,181.19,34
dev_queue,188.29,28
dev_queue,188.63,29
dev_queue,191.27,29
dev_queue,192.03,30
dev_queue,192.22,31
dev_queue,194.91,31
dev_queue,197.69,32
dev_queue,198.04,33
