kind,id,key,value
task,0,arrived,1.08
task,0,dev_queue_length,0.0
task,0,dev_time,1.09
task,0,dev_start,1.08
task,0,dev_end,2.17
task,0,test_queue_length,0.0
task,0,test_time,6.78
task,0,test_start,2.17
task,0,test_end,8.95
task,1,arrived,1.79
task,1,dev_queue_length,0.0
task,1,dev_time,4.32
task,1,dev_start,1.79
task,1,dev_end,6.1
task,1,test_queue_length,0.0
task,1,test_time,2.36
task,1,test_start,7.78
task,1,test_end,10.14
task,2,arrived,3.46
task,2,dev_queue_length,0.0
task,2,dev_time,2.46
task,2,dev_start,3.46
task,2,dev_end,5.91
task,2,test_queue_length,0.0
task,2,test_time,1.87
task,2,test_start,5.91
task,2,test_end,7.78
task,3,arrived,4.59
task,3,dev_queue_length,0.0
task,3,dev_time,6.06
task,3,dev_start,5.91
task,3,dev_end,11.97
task,3,test_queue_length,0.0
task,3,test_time,2.22
task,3,test_start,11.97
task,3,test_end,14.19
task,4,arrived,6.2
task,4,dev_queue_length,0.0
task,4,dev_time,4.19
task,4,dev_start,6.2
task,4,dev_end,10.4
task,4,test_queue_length,0.0
task,4,test_time,7.71
task,4,test_start,10.4
task,4,test_end,18.1
task,5,arrived,6.39
task,5,dev_queue_length,0.0
task,5,dev_time,9.81
task,5,dev_start,10.4
task,5,dev_end,20.2
task,5,test_queue_length,0.0
task,5,test_time,3.88
task,5,test_start,20.2
task,5,test_end,24.09
task,6,arrived,7.8
task,6,dev_queue_length,0.0
task,6,dev_time,2.33
task,6,dev_start,11.97
task,6,dev_end,14.3
task,6,test_queue_length,0.0
task,6,test_time,6.03
task,6,test_start,14.3
task,6,test_end,20.34
task,7,arrived,8.22
task,7,dev_queue_length,0.0
task,7,dev_time,4.07
task,7,dev_start,14.3
task,7,dev_end,18.38
task,7,test_queue_length,0.0
task,7,test_time,1.16
task,7,test_start,18.38
task,7,test_end,19.54
task,8,arrived,9.05
task,8,dev_queue_length,0.0
task,8,dev_time,9.71
task,8,dev_start,18.38
task,8,dev_end,28.09
task,8,test_queue_length,0.0
task,8,test_time,7.85
task,8,test_start,28.09
task,8,test_end,35.94
task,9,arrived,11.78
task,9,dev_queue_length,0.0
task,9,dev_time,1.03
task,9,dev_start,20.2
task,9,dev_end,21.24
task,9,test_queue_length,0.0
task,9,test_time,7.58
task,9,test_start,21.24
task,9,test_end,28.82
task,10,arrived,15.87
task,10,dev_queue_length,0.0
task,10,dev_time,7.94
task,10,dev_start,21.24
task,10,dev_end,29.17
task,10,test_queue_length,0.0
task,10,test_time,2.25
task,10,test_start,29.17
task,10,test_end,31.43
task,11,arrived,16.08
task,11,dev_queue_length,0.0
task,11,dev_time,4.73
task,11,dev_start,28.09
task,11,dev_end,32.82
task,11,test_queue_length,0.0
task,11,test_time,7.2
task,11,test_start,32.82
task,11,test_end,40.01
task,12,arrived,17.8
task,12,dev_queue_length,0.0
task,12,dev_time,7.63
task,12,dev_start,29.17
task,12,dev_end,36.8
task,12,test_queue_length,0.0
task,12,test_time,2.63
task,12,test_start,36.8
task,12,test_end,39.43
task,13,arrived,19.29
task,13,dev_queue_length,0.0
task,13,dev_time,7.38
task,13,dev_start,32.82
task,13,dev_end,40.2
task,13,test_queue_length,0.0
task,13,test_time,6.77
task,13,test_start,40.2
task,13,test_end,46.97
task,14,arrived,22.58
task,14,dev_queue_length,0.0
task,14,dev_time,3.09
task,14,dev_start,36.8
task,14,dev_end,39.89
task,14,test_queue_length,0.0
task,14,test_time,7.11
task,14,test_start,39.89
task,14,test_end,47.01
task,15,arrived,23.07
task,15,dev_queue_length,0.0
task,15,dev_time,8.22
task,15,dev_start,39.89
task,15,dev_end,48.11
task,15,test_queue_length,0.0
task,15,test_time,4.89
task,15,test_start,50.02
task,15,test_end,54.91
task,16,arrived,23.48
task,16,dev_queue_length,0.0
task,16,dev_time,6.3
task,16,dev_start,40.2
task,16,dev_end,46.5
task,16,test_queue_length,0.0
task,16,test_time,4.63
task,16,test_start,46.97
task,16,test_end,51.6
task,17,arrived,29.85
task,17,dev_queue_length,0.0
task,17,dev_time,1.37
task,17,dev_start,46.5
task,17,dev_end,47.87
task,17,test_queue_length,0.0
task,17,test_time,2.15
task,17,test_start,47.87
task,17,test_end,50.02
task,18,arrived,38.03
task,18,dev_queue_length,0.0
task,18,dev_time,8.49
task,18,dev_start,47.87
task,18,dev_end,56.36
task,18,test_queue_length,0.0
task,18,test_time,2.05
task,18,test_start,56.36
task,18,test_end,58.41
task,19,arrived,38.55
task,19,dev_queue_length,0.0
task,19,dev_time,5.85
task,19,dev_start,48.11
task,19,dev_end,53.96
task,19,test_queue_length,0.0
task,19,test_time,2.1
task,19,test_start,53.96
task,19,test_end,56.06
task,20,arrived,39.34
task,20,dev_queue_length,0.0
task,20,dev_time,1.44
task,20,dev_start,53.96
task,20,dev_end,55.41
task,20,test_queue_length,0.0
task,20,test_time,5.98
task,20,test_start,55.41
task,20,test_end,61.39
task,21,arrived,39.5
task,21,dev_queue_length,0.0
task,21,dev_time,9.95
task,21,dev_start,55.41
task,21,dev_end,65.36
task,21,test_queue_length,0.0
task,21,test_time,7.44
task,21,test_start,65.36
task,21,test_end,72.8
task,22,arrived,42.61
task,22,dev_queue_length,0.0
task,22,dev_time,7.95
task,22,dev_start,56.36
task,22,dev_end,64.31
task,22,test_queue_length,0.0
task,22,test_time,3.57
task,22,test_start,64.31
task,22,test_end,67.89
task,23,arrived,44.88
task,23,dev_queue_length,0.0
task,23,dev_time,7.85
task,23,dev_start,64.31
task,23,dev_end,72.16
task,23,test_queue_length,0.0
task,23,test_time,4.37
task,23,test_start,72.8
task,23,test_end,77.17
task,24,arrived,45.01
task,24,dev_queue_length,0.0
task,24,dev_time,6.63
task,24,dev_start,65.36
task,24,dev_end,71.99
task,24,test_queue_length,0.0
task,24,test_time,3.28
task,24,test_start,71.99
task,24,test_end,75.27
task,25,arrived,46.89
task,25,dev_queue_length,0.0
task,25,dev_time,4.79
task,25,dev_start,71.99
task,25,dev_end,76.78
task,25,test_queue_length,0.0
task,25,test_time,7.67
task,25,test_start,76.78
task,25,test_end,84.45
task,26,arrived,47.34
task,26,dev_queue_length,0.0
task,26,dev_time,7.92
task,26,dev_start,72.16
task,26,dev_end,80.08
task,26,test_queue_length,0.0
task,26,test_time,5.89
task,26,test_start,80.66
task,26,test_end,86.55
task,27,arrived,48.97
task,27,dev_queue_length,0.0
task,27,dev_time,1.72
task,27,dev_start,76.78
task,27,dev_end,78.5
task,27,test_queue_length,0.0
task,27,test_time,2.15
task,27,test_start,78.5
task,27,test_end,80.66
task,28,arrived,55.81
task,28,dev_queue_length,0.0
task,28,dev_time,3.08
task,28,dev_start,78.5
task,28,dev_end,81.58
task,28,test_queue_length,0.0
task,28,test_time,2.14
task,28,test_start,84.45
task,28,test_end,86.59
task,29,arrived,56.49
task,29,dev_queue_length,0.0
task,29,dev_time,5.83
task,29,dev_start,80.08
task,29,dev_end,85.92
task,29,test_queue_length,0.0
task,29,test_time,4.64
task,29,test_start,86.59
task,29,test_end,91.23
task,30,arrived,56.49
task,30,dev_queue_length,0.0
task,30,dev_time,1.03
task,30,dev_start,81.58
task,30,dev_end,82.61
task,30,test_queue_length,0.0
task,30,test_time,4.47
task,30,test_start,86.55
task,30,test_end,91.02
task,31,arrived,56.9
task,31,dev_queue_length,0.0
task,31,dev_time,6.47
task,31,dev_start,82.61
task,31,dev_end,89.07
task,31,test_queue_length,0.0
task,31,test_time,6.59
task,31,test_start,91.02
task,31,test_end,97.61
task,32,arrived,57.11
task,32,dev_queue_length,0.0
task,32,dev_time,5.55
task,32,dev_start,85.92
task,32,dev_end,91.47
task,32,test_queue_length,0.0
task,32,test_time,3.84
task,32,test_start,91.47
task,32,test_end,95.31
task,33,arrived,60.23
task,33,dev_queue_length,0.0
task,33,dev_time,9.59
task,33,dev_start,89.07
task,33,dev_end,98.67
task,33,test_queue_length,0.0
task,33,test_time,3.92
task,33,test_start,98.67
task,33,test_end,102.58
task,34,arrived,60.79
task,34,dev_queue_length,0.0
task,34,dev_time,8.91
task,34,dev_start,91.47
task,34,dev_end,100.37
task,34,test_queue_length,0.0
task,34,test_time,1.19
task,34,test_start,100.37
task,34,test_end,101.56
task,35,arrived,61.59
task,35,dev_queue_length,0.0
task,35,dev_time,4.55
task,35,dev_start,98.67
task,35,dev_end,103.22
task,35,test_queue_length,0.0
task,35,test_time,2.25
task,35,test_start,103.22
task,35,test_end,105.46
task,36,arrived,63.87
task,36,dev_queue_length,0.0
task,36,dev_time,5.66
task,36,dev_start,100.37
task,36,dev_end,106.04
task,36,test_queue_length,0.0
task,36,test_time,2.74
task,36,test_start,106.04
task,36,test_end,108.78
task,37,arrived,64.94
task,37,dev_queue_length,0.0
task,37,dev_time,7.23
task,37,dev_start,103.22
task,37,dev_end,110.45
task,37,test_queue_length,0.0
task,37,test_time,3.27
task,37,test_start,110.45
task,37,test_end,113.72
task,38,arrived,65.08
task,38,dev_queue_length,0.0
task,38,dev_time,5.14
task,38,dev_start,106.04
task,38,dev_end,111.18
task,38,test_queue_length,0.0
task,38,test_time,2.37
task,38,test_start,111.18
task,38,test_end,113.55
task,39,arrived,67.02
task,39,dev_queue_length,0.0
task,39,dev_time,2.82
task,39,dev_start,110.45
task,39,dev_end,113.26
task,39,test_queue_length,0.0
task,39,test_time,1.95
task,39,test_start,113.55
task,39,test_end,115.49
task,40,arrived,71.51
task,40,dev_queue_length,0.0
task,40,dev_time,3.97
task,40,dev_start,111.18
task,40,dev_end,115.15
task,40,test_queue_length,0.0
task,40,test_time,3.05
task,40,test_start,115.15
task,40,test_end,118.2
task,41,arrived,73.05
task,41,dev_queue_length,0.0
task,41,dev_time,7.24
task,41,dev_start,113.26
task,41,dev_end,120.5
task,41,test_queue_length,0.0
task,41,test_time,5.7
task,41,test_start,120.5
task,41,test_end,126.2
task,42,arrived,76.25
task,42,dev_queue_length,0.0
task,42,dev_time,3.34
task,42,dev_start,115.15
task,42,dev_end,118.49
task,42,test_queue_length,0.0
task,42,test_time,3.99
task,42,test_start,118.49
task,42,test_end,122.48
task,43,arrived,77.16
task,43,dev_queue_length,0.0
